Wall time,Step,Value
1578701629.7961705,5799,0.65625
1578701629.9866712,5819,0.6875
1578701630.4517586,5869,0.65625
1578701630.5387175,5879,0.65625
1578701632.1856766,6029,0.59375
1578701634.1001735,6209,0.625
1578701634.2921426,6229,0.625
1578701636.9222097,6349,0.6875
1578701637.8007617,6419,0.5625
1578701637.9183316,6429,0.5625
1578701638.1195714,6449,0.71875
1578701638.4210122,6479,0.8125
1578701638.6461186,6499,0.65625
1578701639.9037418,6619,0.8125
1578701641.1618807,6719,0.625
1578701642.509321,6839,0.6875
1578701643.0503273,6889,0.78125
1578701645.656102,7149,0.84375
1578701646.0635467,7189,0.625
1578701646.4520411,7229,0.6875
1578701646.5912085,7239,0.65625
1578701647.3516288,7309,0.5625
1578701648.3626063,7399,0.75
1578701648.738846,7439,0.71875
1578701649.2227194,7479,0.65625
1578701649.8402743,7529,0.625
1578701650.2993677,7569,0.6875
1578701651.2145073,7659,0.84375
1578701651.679533,7699,0.6875
1578701651.89272,7719,0.84375
1578701652.1482637,7739,0.71875
1578701652.863342,7809,0.6875
1578701653.4463603,7859,0.6875
1578701653.6043482,7879,0.875
1578701658.27102,7929,0.65625
1578701658.4668057,7949,0.5
1578701658.8857465,7989,0.65625
1578701659.3170352,8029,0.75
1578701659.9605987,8089,0.5625
1578701660.066623,8099,0.65625
1578701662.388649,8329,0.75
1578701662.7741458,8369,0.65625
1578701666.2100086,8699,0.8125
1578701666.9740388,8769,0.65625
1578701667.6863651,8829,0.8125
1578701669.2949808,8969,0.78125
1578701669.6473079,9009,0.625
1578701670.3331366,9079,0.75
1578701670.538705,9099,0.71875
1578701671.1170716,9159,0.75
1578701671.309754,9179,0.75
1578701672.627408,9319,0.6875
1578701672.7103014,9329,0.71875
1578701673.7851372,9429,0.65625
1578701674.0310166,9459,0.75
1578701676.5637486,9549,0.65625
1578701677.0062742,9589,0.71875
1578701677.379129,9629,0.8125
1578701678.4748356,9719,0.78125
1578701678.588745,9729,0.8125
1578701679.2241566,9789,0.625
1578701679.3142679,9799,0.6875
1578701679.7786567,9849,0.625
1578701680.940969,9969,0.875
1578701681.5929976,10029,0.4375
1578701681.9029555,10059,0.78125
1578701682.8655496,10149,0.84375
1578701683.9028068,10259,0.78125
1578701685.6622615,10449,0.6875
1578701686.9873,10579,0.71875
1578701687.6378036,10639,0.75
1578701687.9462705,10669,0.78125
1578701688.1483748,10689,0.75
1578701688.5692677,10729,0.65625
1578701689.1679888,10789,0.8125
1578701689.7469094,10839,0.8125
1578701690.8373902,10939,0.8125
1578701691.5276928,10999,0.71875
1578701691.9752302,11049,0.65625
1578701694.5010931,11149,0.75
1578701694.981634,11199,0.53125
1578701698.8544016,11569,0.625
1578701699.2126374,11609,0.6875
1578701699.3061063,11619,0.71875
1578701699.3997726,11629,0.875
1578701701.1510189,11809,0.8125
1578701702.2548008,11929,0.59375
1578701702.346224,11939,0.75
1578701702.9653575,11999,0.6875
1578701703.656247,12069,0.78125
1578701706.548783,12329,0.90625
1578701706.7986307,12349,0.5625
1578701708.0036902,12449,0.78125
1578701709.197223,12559,0.75
1578701709.5741386,12589,0.65625
1578701709.8694952,12619,0.75
1578701713.4707577,12819,0.875
1578701714.053892,12879,0.78125
1578701714.6997883,12949,0.84375
1578701715.2584264,13009,0.8125
1578701716.193692,13109,0.6875
1578701716.7423043,13169,0.6875
1578701717.027413,13199,0.71875
1578701718.143925,13309,0.71875
1578701718.492869,13339,0.75
1578701718.8479662,13369,0.71875
1578701718.9562964,13379,0.78125
1578701723.9845643,13859,0.78125
1578701724.3104706,13889,0.65625
1578701724.664654,13919,0.75
1578701724.778417,13929,0.71875
1578701727.4024303,14149,0.8125
1578701730.2004488,14269,0.875
1578701730.379131,14289,0.75
1578701730.7403905,14329,0.8125
1578701731.1351244,14369,0.78125
1578701731.5656447,14409,0.75
1578701734.031074,14659,0.8125
1578701734.127091,14669,0.75
1578701735.337189,14779,0.78125
1578701736.2769444,14859,0.75
1578701736.7377372,14899,0.875
1578701736.9470484,14919,0.84375
1578701738.541511,15089,0.6875
1578701739.9887044,15239,0.8125
1578701740.365178,15279,0.71875
1578701742.8944879,15529,0.84375
1578701744.2666266,15689,0.5625
1578701744.3545036,15699,0.8125
1578701750.1871965,15849,0.71875
1578701750.6493742,15889,0.75
1578701751.553236,15979,0.8125
1578701752.4063914,16049,0.84375
1578701752.509476,16059,0.71875
1578701753.9873817,16189,0.6875
1578701754.7868724,16279,0.78125
1578701755.3283393,16329,0.8125
1578701755.8137681,16379,0.71875
1578701756.1300647,16409,0.75
1578701756.716519,16459,0.6875
1578701757.048304,16489,0.6875
1578701758.2937121,16609,0.71875
1578701759.0901115,16689,0.75
1578701759.873179,16759,0.84375
1578701760.7223241,16829,0.71875
1578701761.6032646,16919,0.75
1578701761.9823022,16959,0.78125
1578701762.0992258,16969,0.9375
1578701762.214695,16979,0.75
1578701762.4501085,16999,0.8125
1578701762.7965028,17029,0.78125
1578701763.5268471,17099,0.84375
1578701764.4195986,17189,0.78125
1578701765.577589,17289,0.8125
1578701765.9327252,17329,0.8125
1578701766.1021948,17349,0.71875
1578701766.3341098,17379,0.8125
1578701768.3962903,17429,0.78125
1578701768.7189825,17459,0.75
1578701768.820814,17469,0.78125
1578701768.9242983,17479,0.78125
1578701770.8847692,17669,0.6875
1578701771.8762856,17759,0.84375
1578701772.5315075,17819,0.75
1578701773.3032749,17889,0.6875
1578701773.391805,17899,0.875
1578701774.2764397,17989,0.75
1578701775.1251721,18059,0.6875
1578701776.513547,18179,0.78125
1578701777.4289255,18269,0.84375
1578701777.8319745,18309,0.78125
1578701778.8965917,18409,0.78125
1578701779.3121395,18449,0.71875
1578701780.1455631,18539,0.75
1578701781.4485073,18669,0.8125
1578701781.7175055,18699,0.78125
1578701782.3549163,18759,0.71875
1578701782.5283508,18779,0.78125
1578701787.5583675,19119,0.8125
1578701788.1060243,19179,0.65625
1578701789.646315,19349,0.8125
1578701789.816689,19369,0.8125
1578701789.9948416,19389,0.78125
1578701790.5447826,19449,0.78125
1578701790.8047752,19479,0.90625
1578701791.0123627,19499,0.75
1578701792.9045382,19679,0.78125
1578701794.421094,19819,0.75
1578701794.635444,19839,0.71875
1578701796.5774722,20019,0.84375
1578701797.0860922,20059,0.84375
1578701797.9128213,20139,0.84375
1578701799.8670924,20309,0.75
1578701800.5902934,20369,0.8125
1578701804.4767637,20609,0.84375
1578701805.5780053,20729,0.78125
1578701805.6724727,20739,0.75
1578701805.9732735,20769,0.78125
1578701806.093524,20779,0.75
1578701806.2913146,20799,0.71875
1578701806.4741113,20819,0.8125
1578701806.9518564,20859,0.71875
1578701807.3861117,20899,0.84375
1578701807.8842661,20949,0.875
1578701808.0864024,20969,0.90625
1578701809.5995185,21119,0.6875
1578701813.4114964,21459,0.875
1578701813.9280322,21499,0.75
1578701814.0985484,21519,0.84375
1578701814.5478876,21569,0.6875
1578701815.4179883,21659,0.8125
1578701816.3240292,21739,0.8125
1578701816.7988482,21779,0.875
1578701817.731409,21879,0.8125
1578701817.9256637,21899,0.75
1578701818.1737309,21919,0.75
1578701818.257058,21929,0.5625
1578701818.6765666,21969,0.875
1578701818.9944263,21999,0.6875
1578701819.8490252,22079,0.59375
1578701820.1642845,22119,0.75
1578701823.2175136,22259,0.75
1578701823.907749,22319,0.65625
1578701824.4736695,22369,0.84375
1578701824.5585656,22379,0.9375
1578701824.7333002,22399,0.8125
1578701825.053547,22429,0.8125
1578701825.281146,22449,0.78125
1578701825.5272434,22469,0.71875
1578701825.6483538,22479,0.78125
1578701826.3969572,22549,0.84375
1578701826.7003016,22579,0.625
1578701827.2585514,22629,0.65625
1578701829.1956592,22819,0.78125
1578701830.2234452,22919,0.84375
1578701830.850705,22979,0.8125
1578701831.4106941,23039,0.78125
1578701831.8092299,23079,0.71875
1578701831.9133723,23089,0.84375
1578701833.0588155,23199,0.8125
1578701833.1848736,23209,0.75
1578701834.9036684,23359,0.84375
1578701835.8923507,23459,0.84375
1578701836.9738722,23549,0.78125
1578701843.3636496,23719,0.84375
1578701845.345904,23899,0.84375
1578701845.4466643,23909,0.75
