Wall time,Step,Value
1578697799.3894231,14289,0.75
1578697800.1786237,14329,0.90625
1578697800.9775279,14369,0.8125
1578697801.829161,14409,0.84375
1578697806.8989727,14659,0.6875
1578697807.0324388,14669,0.84375
1578697809.0577888,14779,0.90625
1578697810.409515,14859,0.84375
1578697811.2347183,14899,0.625
1578697811.623045,14919,0.8125
1578697814.8768842,15089,0.78125
1578697818.159161,15239,0.78125
1578697819.2473993,15279,0.78125
1578697824.0665302,15529,0.71875
1578697827.0570092,15689,0.8125
1578697827.2507293,15699,0.875
1578697836.3491092,15849,0.875
1578697837.157138,15889,0.78125
1578697839.1126828,15979,0.875
1578697840.45936,16049,0.75
1578697840.6208987,16059,0.875
1578697842.9129617,16189,0.84375
1578697844.774788,16279,0.875
1578697845.888197,16329,0.71875
1578697846.9746695,16379,0.625
1578697847.5617452,16409,0.875
1578697848.62746,16459,0.6875
1578697849.2135422,16489,0.875
1578697851.7632797,16609,0.9375
1578697853.3903844,16689,0.875
1578697854.7748973,16759,0.90625
1578697856.1495354,16829,0.84375
1578697858.0628426,16919,0.90625
1578697858.9266746,16959,0.84375
1578697859.1457121,16969,0.71875
1578697859.358487,16979,0.96875
1578697859.7407901,16999,0.78125
1578697860.3374577,17029,0.84375
1578697861.6806633,17099,0.78125
1578697863.4612262,17189,0.71875
1578697865.3775158,17289,0.8125
1578697866.2310193,17329,0.78125
1578697866.5296218,17349,0.8125
1578697866.8981156,17379,0.84375
1578697870.531677,17429,0.875
1578697871.1498837,17459,0.875
1578697871.425063,17469,0.90625
1578697871.6237648,17479,0.84375
1578697875.459002,17669,0.75
1578697876.9953234,17759,0.90625
1578697878.1534898,17819,0.90625
1578697879.1890872,17889,0.84375
1578697879.4387174,17899,0.75
1578697881.0053794,17989,0.84375
1578697882.1380703,18059,0.90625
1578697884.1164575,18179,0.75
1578697885.858664,18269,0.8125
1578697886.6337225,18309,0.8125
1578697888.600017,18409,0.96875
1578697889.340229,18449,0.875
1578697891.088126,18539,0.875
1578697893.8823557,18669,0.84375
1578697894.452805,18699,0.8125
1578697895.6748693,18759,0.78125
1578697896.0740402,18779,0.84375
1578697904.4081395,19119,0.8125
1578697905.566516,19179,0.84375
1578697908.745132,19349,0.84375
1578697909.16774,19369,0.90625
1578697909.5766587,19389,0.8125
1578697910.6000535,19449,0.875
1578697911.0141482,19479,0.84375
1578697911.5135624,19499,0.78125
1578697914.8692858,19679,0.90625
1578697917.7038713,19819,0.90625
1578697918.1352088,19839,0.84375
1578697921.8138583,20019,0.75
1578697922.7577703,20059,0.8125
1578697924.5232396,20139,0.71875
1578697928.1384676,20309,0.78125
1578697929.5615172,20369,0.71875
1578697936.764285,20609,0.90625
1578697939.1480982,20729,0.84375
1578697939.3539135,20739,0.90625
1578697939.971954,20769,0.84375
1578697940.1776402,20779,0.84375
1578697940.5939343,20799,0.90625
1578697941.0137029,20819,0.90625
1578697941.818407,20859,0.96875
1578697942.6034057,20899,0.84375
1578697943.546288,20949,0.65625
1578697943.9057448,20969,0.9375
1578697946.6774566,21119,0.75
1578697952.1045797,21459,0.78125
1578697952.9185514,21499,0.875
1578697953.3315806,21519,0.8125
1578697954.4990566,21569,0.875
1578697956.1986246,21659,0.96875
1578697957.7983108,21739,0.84375
1578697958.6405406,21779,0.84375
1578697960.8922498,21879,0.90625
1578697961.3133903,21899,0.8125
1578697961.8204565,21919,0.84375
1578697962.0759192,21929,0.84375
1578697963.1074016,21969,0.9375
1578697963.90844,21999,0.875
1578697965.4903877,22079,0.9375
1578697966.0143745,22119,0.84375
1578697971.0315933,22259,0.75
1578697972.1940045,22319,0.84375
1578697973.1819851,22369,0.71875
1578697973.3890896,22379,0.90625
1578697973.7897882,22399,0.84375
1578697974.3905556,22429,0.84375
1578697974.7876825,22449,0.84375
1578697975.1920152,22469,0.84375
1578697975.3929272,22479,0.875
1578697976.8236227,22549,0.84375
1578697977.415054,22579,0.90625
1578697978.4882078,22629,0.84375
1578697982.25947,22819,0.78125
1578697984.2189445,22919,0.90625
1578697985.4010286,22979,0.875
1578697986.790776,23039,0.90625
1578697987.6788332,23079,0.75
1578697987.9213972,23089,0.84375
1578697990.672038,23199,0.78125
1578697990.911353,23209,0.71875
1578697994.066029,23359,0.9375
